PassengerId;Survived;Age;Fare;ageRatioTitle;woe_sibSp;withFamily;woe_parch;woe_title;ageRatioClass;fareRatioClass
1;0;22.0;7.25;0.7857142857142857;0.6135134918212847;1;-0.17390468488284655;-1.202120796051821;0.9166666666666666;0.32954545454545453
2;1;38.0;71.2833;1.058550425586794;0.6135134918212847;1;-0.17390468488284655;1.7804264717632785;1.0555555555555556;1.8758763157894736
3;1;26.0;7.925;1.194086190625983;-0.1660101316342809;1;-0.17390468488284655;1.297771724963984;1.0833333333333333;0.3048076923076923
4;1;35.0;53.1;0.9749806551457313;0.6135134918212847;1;-0.17390468488284655;1.7804264717632785;0.9722222222222222;1.5171428571428571
5;0;35.0;8.05;1.25;-0.1660101316342809;1;-0.17390468488284655;-1.202120796051821;1.4583333333333333;0.23
6;0;21.773972602739725;8.4583;0.7776418786692759;-0.1660101316342809;1;-0.17390468488284655;-1.202120796051821;0.9072488584474886;0.38845920100660586
7;0;54.0;51.8625;1.9285714285714286;-0.1660101316342809;1;-0.17390468488284655;-1.202120796051821;1.5;0.9604166666666666
8;0;2.0;21.075;0.5;-0.4844182932479203;1;0.6717638472416674;0.7587752242312972;0.08333333333333333;10.5375
9;1;27.0;11.1333;0.7521279339695641;-0.1660101316342809;1;0.4710931517795161;1.7804264717632785;1.125;0.41234444444444446
10;1;14.0;30.0708;0.3899922620582925;0.6135134918212847;1;-0.17390468488284655;1.7804264717632785;0.4745762711864407;2.1479142857142857
11;1;4.0;16.7;0.18370556778861277;0.6135134918212847;1;0.6717638472416674;1.297771724963984;0.16666666666666666;4.175
12;1;58.0;26.55;2.6637307329348854;-0.1660101316342809;1;-0.17390468488284655;1.297771724963984;1.6111111111111112;0.45775862068965517
13;0;20.0;8.05;0.7142857142857143;-0.1660101316342809;1;-0.17390468488284655;-1.202120796051821;0.8333333333333334;0.4025
14;0;39.0;31.275;1.3928571428571428;0.6135134918212847;1;-0.445197580094639;-1.202120796051821;1.625;0.8019230769230768
15;0;14.0;7.8542;0.6429694872601447;-0.1660101316342809;1;-0.17390468488284655;1.297771724963984;0.5833333333333334;0.5610142857142857
16;1;55.0;16.0;1.5321124580861492;-0.1660101316342809;1;-0.17390468488284655;1.7804264717632785;1.8644067796610169;0.2909090909090909
17;0;2.0;29.125;0.5;-0.9152012093403745;1;0.6717638472416674;0.7587752242312972;0.08333333333333333;14.5625
18;1;30.0;13.0;1.0714285714285714;-0.1660101316342809;1;-0.17390468488284655;-1.202120796051821;1.0169491525423728;0.43333333333333335
19;0;31.0;18.0;0.8635542945576478;0.6135134918212847;1;-0.17390468488284655;1.7804264717632785;1.2916666666666667;0.5806451612903226
20;1;35.898148148148145;7.225;1.0;-0.1660101316342809;1;-0.17390468488284655;1.7804264717632785;1.4957561728395061;0.20126386381222594
21;0;35.0;26.0;1.25;-0.1660101316342809;1;-0.17390468488284655;-1.202120796051821;1.1864406779661016;0.7428571428571429
22;1;34.0;13.0;1.2142857142857142;-0.1660101316342809;1;-0.17390468488284655;-1.202120796051821;1.152542372881356;0.38235294117647056
23;1;15.0;8.0292;0.6888958792072979;-0.1660101316342809;1;-0.17390468488284655;1.297771724963984;0.625;0.53528
24;1;28.0;35.5;1.0;-0.1660101316342809;1;-0.17390468488284655;-1.202120796051821;0.7777777777777778;1.2678571428571428
25;0;8.0;21.075;0.36741113557722554;-0.4844182932479203;1;0.6717638472416674;1.297771724963984;0.3333333333333333;2.634375
